,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
21-111,3,3,4,3,4,3,4,3,3,3,4,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,3,3,4,4,4,3,4,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,4,4,3,4,3,4,4,3,3,4,4,3,4,4,3,4,4,3,4,4,3,3,4,4,4,3,3,4,4,3
21-112,3,4,4,3,4,3,3,4,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,3,3,4,4,3,3,4,3,4,3,3,4,3,3,4,4,4,4,3,4,3,4,4,3,3,3,4,3,4,3,4,4,3,3,4,4,3,3,4,4,3,4,3,4,4,4,3,3,3,4,4,3,4,4,3
21-120,4,4,3,3,4,4,3,3,3,4,3,4,3,3,3,4,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,3,3,4,3,4,4,3,4,4,4,3,4,3,3,4,3,4,3,3,4,3,3,4,4,3,4,3,4,3,3,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3
21-122,3,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,3,3,3,4,3,4,4,3,3,3,4,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,4,3,4,4,3,3,3,4,4,3,4,4,4,3,4,4,3,3,3,4,4,4,3,3,4,4,3,3,4,3,4,3,3,4,3,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4
21-124,4,4,4,3,3,4,3,3,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,4,3,4,3,3,3,4,3,3,4,3,4,4,4,4,3,4,3,4,4,3,3,4,3,4,4,3,3,4,3,3,3,4,4,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4
21-127,3,4,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4,3,4,3,3,4,3,3,4,3,3,3,4,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,3,3,4,3,3,4,3,3,3,4,3,4,3,4,3,3,3,3,3,4,3,4,3,3,3
21-228,4,3,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,4,3,3,4,4,4,3,3,4,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,4,3,4,3,3,4,4,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,4
21-236,4,3,4,4,4,4,3,3,4,4,3,4,4,3,3,4,3,3,3,3,4,3,4,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,3,3,4,3,3,3,4,4,3,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,4,3,3,4,4,4,4,3,4,3
21-238,3,4,3,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,3,4,4,4,4,3,3,3,4,4,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3,3,4,3,4,4,4,4
21-240,4,4,4,3,4,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,4,3,4,3,3,4,4,3,4,4,3,3,3,4,3,4,4,4,3,4,4,4,3,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,4,3,4,3,3,3,3,3,4,3,4,4,3,4,3,3,3,4,4,4,4,3,3,4,4,3,3,4,4,3,4,4,4,4
21-241,3,3,4,3,4,3,3,3,4,4,3,4,3,3,3,3,3,4,3,4,3,3,3,4,4,3,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,3,4,3,4,3,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,3,3,4,4
21-242,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,3,4,3,3,3,4,3,4,4,3,3,4,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,3,3,4,3,4,4,3,4,3,4,3
21-254,4,4,3,4,3,3,3,4,4,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,3,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,3,4,3,3,4,3,3,4,3,3,4,4,3,3,4,4,3,3,4,4,3,4,3,4,3,4,3,3,3,4,3
21-256,3,3,3,3,4,3,4,3,3,4,4,4,3,4,3,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,3,3,4,4,4,3,4,3,3,4,4,3,3,4,3,3,3,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,3,3,4,4,4,3,3,4,3,4,4,3,3,4,4,4,4,4
21-259,2,4,4,4,2,2,2,2,3,4,3,4,4,4,2,2,2,4,3,4,2,2,3,3,4,4,2,2,3,2,4,2,4,4,4,2,2,3,2,4,3,2,4,4,4,2,4,3,3,2,2,2,4,4,3,3,2,3,2,3,4,3,3,4,2,2,3,2,4,4,2,3,4,4,2,4,2,2,2,3,4,4,4,2,2,2,2,2,3,3,4,4
21-260,4,3,3,4,2,4,2,3,2,4,2,4,3,3,2,3,2,4,3,3,2,3,2,4,4,3,4,4,3,3,2,2,2,3,2,2,2,2,4,2,3,3,4,4,4,3,3,2,2,4,2,2,4,4,4,3,2,4,4,2,2,3,2,3,3,4,2,3,2,4,4,3,3,4,2,3,4,4,4,4,3,2,3,2,3,4,3,2,2,4,3,2
21-261,2,3,2,2,2,3,4,2,2,4,3,2,2,4,2,3,3,3,2,3,3,3,3,2,3,2,2,3,3,4,3,3,3,2,3,3,3,4,2,3,4,3,3,2,4,2,2,3,4,3,3,2,2,4,3,3,3,3,4,3,3,2,3,3,2,3,4,4,3,3,4,2,3,2,3,3,4,3,2,3,3,3,3,3,4,3,2,4,3,3,3,3
21-268,3,2,2,2,3,3,3,3,2,3,3,2,2,4,2,3,4,2,2,2,3,2,4,3,4,3,4,4,3,2,2,3,4,2,3,4,3,3,2,3,2,3,2,2,2,2,3,2,2,2,4,2,2,3,3,2,3,4,4,2,2,2,2,4,2,2,3,2,2,3,2,2,3,2,4,4,3,3,2,3,2,2,4,3,4,3,2,2,2,2,2,3
21-269,3,3,4,2,4,2,2,3,4,3,2,2,4,4,3,4,2,3,2,3,4,4,4,3,4,4,2,4,2,4,4,4,4,4,2,2,4,3,4,2,4,4,2,3,2,2,2,3,4,3,3,4,4,3,2,4,4,4,3,2,3,4,4,4,3,2,4,3,4,2,3,3,2,4,4,2,2,2,4,2,4,4,2,3,4,4,3,3,3,3,3,3
21-270,2,3,2,2,3,2,2,3,4,2,4,3,2,2,4,3,3,3,3,2,4,4,4,2,4,4,4,2,4,4,4,3,4,4,4,4,2,4,3,3,4,4,2,3,4,2,3,4,4,2,2,2,2,3,3,3,2,2,2,2,4,2,2,2,2,2,3,2,2,3,2,4,4,4,4,3,4,4,2,3,4,2,3,3,3,2,3,2,4,3,2,4
21-292,3,3,2,4,4,4,3,2,2,2,4,4,4,2,4,3,4,3,4,4,3,4,4,2,2,3,3,3,4,4,3,3,4,2,3,4,3,4,2,4,3,4,4,4,4,3,4,3,2,2,3,2,3,4,4,2,3,4,3,3,4,2,2,2,2,2,2,4,4,4,3,2,4,3,2,4,3,4,3,3,4,3,2,3,4,2,2,3,4,4,3,2
21-369,2,2,3,3,2,4,2,2,2,3,2,3,3,2,3,2,2,2,4,3,2,4,3,4,2,2,2,4,4,4,2,4,2,2,2,2,2,4,4,4,2,3,4,3,2,3,4,3,4,3,3,2,4,3,2,2,4,4,2,3,2,4,2,4,2,2,4,2,2,2,4,3,4,3,3,4,3,4,2,2,3,4,4,3,4,3,4,2,2,4,4,3
21-469,2,4,3,2,3,4,3,3,4,2,3,2,2,4,2,4,2,3,2,4,2,2,4,2,4,4,4,2,2,3,2,3,4,3,3,3,3,2,3,2,2,2,3,4,4,4,2,4,4,3,2,3,4,3,3,4,2,3,4,3,2,2,4,4,2,2,4,4,4,3,4,2,3,3,2,4,3,2,4,4,3,4,4,3,2,2,3,4,2,2,2,3