,8:30 - 9:30,9:30 - 10:30,10:30-11:30,11:30 - 12:30,12:30 - 1:30,1:30 - 2:30,2:30 - 3:30,3:30 - 4:30,4:30 - 5:30
1,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
2,"[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 0, 0, 1, 0]","[1, 1, 1, 1, 1]"
3,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[1, 1, 1, 1, 1]"
4,"[0, 0, 1, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[1, 1, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
5,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[0, 0, 0, 0, 0]"
6,"[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 1, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]"
7,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 0, 1, 0]","[1, 1, 1, 1, 1]"
8,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
9,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 0]","[1, 0, 0, 1, 1]"
10,"[1, 0, 1, 1, 1]","[0, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","[0, 0, 0, 1, 1]","[0, 1, 1, 0, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]"
11,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
12,"[1, 0, 1, 0, 0]","[1, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 0, 0, 1]","[1, 0, 0, 1, 1]","[1, 1, 0, 0, 1]","[1, 1, 1, 1, 1]"
13,"[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
14,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]"
15,"[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]"
16,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[0, 0, 0, 0, 0]"
17,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]"
18,"[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
19,"[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
20,"[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]"
21,"[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 1, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[1, 0, 1, 0, 1]","[0, 0, 0, 0, 0]"
22,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
23,"[0, 1, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]"
24,"[0, 1, 1, 1, 0]","[0, 1, 1, 0, 0]","[1, 1, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 0, 1, 1]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]"
25,"[0, 1, 0, 1, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]"
26,"[0, 1, 1, 1, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
27,"[1, 0, 0, 1, 0]","[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]"
28,"[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]"
29,"[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
30,"[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]"
31,"[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[0, 1, 1, 0, 0]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"
32,"[1, 1, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]"
33,"[0, 0, 1, 0, 1]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 1, 1, 0, 0]"
34,"[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"
35,"[1, 1, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 0, 1, 1]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[1, 0, 0, 1, 0]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[0, 0, 0, 0, 0]"
36,"[0, 1, 0, 0, 0]","[0, 0, 1, 1, 1]","[1, 0, 0, 1, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 0, 1]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]"
37,"[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]"
38,"[1, 0, 1, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]"
39,"[0, 1, 0, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[0, 1, 0, 0, 0]"
40,"[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
41,"[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]"
42,"[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 1, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]"
43,"[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 0, 0, 1, 0]"
44,"[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
45,"[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]"
46,"[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]"
47,"[0, 1, 1, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 0, 1, 0, 1]"
48,"[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
49,"[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
50,"[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]"
51,"[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
52,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[0, 0, 1, 0, 1]"
53,"[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]"
54,"[1, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
55,"[1, 0, 1, 0, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
56,"[0, 1, 0, 0, 0]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]"
57,"[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 0, 1, 0, 0]"
58,"[1, 0, 1, 0, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 0]"
59,"[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]"
60,"[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
61,"[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]"
62,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]"
63,"[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]"
64,"[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]"
65,"[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]"
66,"[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 0, 1, 1, 1]","[1, 0, 0, 1, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]"
67,"[0, 1, 1, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 0, 0, 1, 0]"
68,"[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]"
69,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]"
70,"[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"
71,"[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 0, 0, 1, 1]","[0, 0, 0, 1, 1]"
72,"[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
73,"[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]"
74,"[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]"
75,"[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
76,"[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"
77,"[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 1]","[0, 0, 0, 1, 1]"
78,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
79,"[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 1, 0, 0, 1]"
80,"[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]"
81,"[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
82,"[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"
83,"[1, 0, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 0, 1, 1, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[0, 0, 1, 1, 1]"
84,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
85,"[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]"
86,"[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","[0, 1, 1, 0, 0]"
87,"[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[0, 1, 1, 0, 0]","[1, 1, 1, 1, 1]"
88,"[1, 0, 0, 1, 1]","[1, 0, 0, 1, 1]","[0, 0, 0, 1, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]"
89,"[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]","[1, 0, 1, 1, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]"
90,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
91,"[1, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]"
92,"[1, 0, 0, 1, 1]","[0, 1, 0, 0, 0]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,